"symbol","close","close2","close3"
"FI",118.51000213623,94.9199981689453,100.73999786377
"SO",65.5800018310547,52.189998626709,53.0200004577637
"KLAC",177.919998168945,125.360000610352,196.039993286133
"CME",205.009994506836,172.309997558594,168.830001831055
"EQIX",586.239990234375,565.130004882812,713.880004882812
"DUK",92.4899978637695,80.4800033569336,80.4300003051758
"CDNS",71.9400024414062,56.939998626709,99.1100006103516
"MO",51.25,36.4199981689453,41
"SHW",194.853332519531,160.880004882812,199.146667480469
"SLB",38.3300018310547,14.4200000762939,18.8999996185303
"BDX",270.536590576172,215.190246582031,260.448791503906
"ICE",95.7699966430664,75.6100006103516,93.2399978637695
"ITW",178.410003662109,140.190002441406,182.210006713867
"NOC",380.260009765625,290.5,300.760009765625
"EOG",86.7399978637695,32.5,47.4599990844727
"AON",209.029998779297,173.490005493164,200.990005493164
"PYPL",114.849998474121,96.9599990844727,172.059997558594
"CSX",24.9966678619385,17.8033332824707,23.5533332824707
"USB",54.9700012207031,31.6100006103516,37.6399993896484
"WM",118.220001220703,97.7399978637695,106.790000915527
"CL",70.8000030517578,63.8899993896484,74.6900024414062
"CMG",865.090026855469,603,1133.65002441406
"TGT",117,92.620002746582,121.669998168945
"FDX",159.149993896484,97,161.25
"MCK",154.029998779297,124.029998779297,153.5
"MCO",253.029998779297,193.339996337891,293.519989013672
"HUM",364.070007324219,293.049987792969,395.369995117188
"APD",235.460006713867,187.729995727539,281.970001220703
"ORLY",438.149993896484,330.290008544922,432.929992675781
"MPC",58.1300010681152,22.8899993896484,37.5699996948242
"ROP",373.529998779297,290.940002441406,399.690002441406
"PNC",154.080001831055,94.7200012207031,104.069999694824
"LULU",243.490005493164,169.130004882812,312.510009765625
"GD",181.610000610352,132.229995727539,145.789993286133
"ANET",53.3474998474121,40.7224998474121,53.7849998474121
"MMM",179.779998779297,133.580001831055,159.330001831055
"APH",54.3549995422363,37.560001373291,50.2200012207031
"NXPI",132.5,91.9700012207031,121.830001831055
"PSX",104.889999389648,46.4000015258789,65.4599990844727
"PH",205.339996337891,130.399993896484,186.820007324219
"FCX",12.9799995422363,7.17000007629395,13.5299997329712
"TDG",619.659973144531,407.010009765625,434.209991455078
"MAR",147.300003051758,93.7099990844727,94.0299987792969
"MSI",170.550003051758,141.369995117188,134.559997558594
"TT",101.869667053223,96.3300018310547,100.930000305176
"HCA",147.25,101.51000213623,105.650001525879
"AJG",95.8099975585938,86.1699981689453,101.48999786377
"EMR",76.6600036621094,46.1800003051758,63.6300010681152
"PXD",145.399993896484,60.6800003051758,96.5899963378906
